PERIOD,IDENTIFIER,INSTR_CLASS,ISSUER_COUNTRY,pd,vol,debt_ratio,nace_lvl4,nace_lvl2,nace_lvl,resid_mat_yr
2024-Q4,DEMO000132,F_511,US,0.0694,0.224,0.332,,60,2,
2024-Q4,DEMO000133,F_32,JP,0.0053,0.363,0.505,,69,2,7.0
2024-Q4,DEMO000134,F_32,HR,0.0436,0.405,0.303,,85,2,13.0
2024-Q4,DEMO000135,F_32,NL,0.0558,0.412,0.644,,72,2,6.0
2024-Q4,DEMO000136,F_32,GR,0.0072,0.252,0.665,,2,2,14.0
2024-Q4,DEMO000137,F_32,BE,0.0351,0.309,0.25,,65,2,1.0
2024-Q4,DEMO000138,F_511,CN,0.0722,0.225,0.254,,69,2,
2024-Q4,DEMO000139,F_511,DE,0.0554,0.223,0.258,,60,2,
2024-Q4,DEMO000140,F_32,DE,0.0228,0.198,0.51,,69,2,4.0
2024-Q4,DEMO000141,F_32,DE,0.069,0.432,0.261,,69,2,4.0
2024-Q4,DEMO000142,F_32,PL,0.0311,0.416,0.626,,20,2,11.0
2024-Q4,DEMO000143,F_32,IT,0.069,0.383,0.577,,1,2,9.0
2024-Q4,DEMO000144,F_32,CA,0.0274,0.305,0.61,,20,2,9.0
2024-Q4,DEMO000145,F_32,FR,0.0493,0.297,0.463,,6,2,1.0
2024-Q4,DEMO000146,F_32,ES,0.0348,0.309,0.698,,2,2,9.0
2024-Q4,DEMO000147,F_511,NL,0.0256,0.311,0.222,,2,2,
2024-Q4,DEMO000148,F_32,NL,0.0715,0.28,0.401,,60,2,1.0
2024-Q4,DEMO000149,F_32,FI,0.0191,0.19,0.362,,29,2,7.0
2024-Q4,DEMO000150,F_32,CN,0.0114,0.188,0.674,,45,2,7.0
2024-Q4,DEMO000151,F_511,HR,0.0306,0.436,0.488,,65,2,
2024-Q4,DEMO000152,F_32,CN,0.0588,0.295,0.603,,45,2,4.0
2024-Q4,DEMO000153,F_32,AT,0.0656,0.436,0.285,,50,2,7.0
2024-Q4,DEMO000154,F_32,AT,0.0799,0.199,0.689,,2,2,11.0
2024-Q4,DEMO000155,F_32,JP,0.0272,0.316,0.449,,69,2,1.0
2024-Q4,DEMO000156,F_32,AT,0.0356,0.212,0.447,,20,2,12.0
2024-Q4,DEMO000157,F_511,NL,0.0153,0.226,0.685,,3,2,
2024-Q4,DEMO000158,F_32,FR,0.0481,0.159,0.39,,69,2,11.0
2024-Q4,DEMO000159,F_32,CN,0.0798,0.186,0.399,,65,2,10.0
2024-Q4,DEMO000160,F_511,PT,0.0576,0.425,0.492,,1,2,
2024-Q4,DEMO000161,F_32,AT,0.0496,0.246,0.264,,3,2,11.0
2024-Q4,DEMO000162,F_32,JP,0.0344,0.332,0.361,,1,2,13.0
2024-Q4,DEMO000163,F_511,JP,0.0736,0.29,0.297,,10,2,
2024-Q4,DEMO000164,F_32,US,0.0423,0.27,0.252,,2,2,7.0
2024-Q4,DEMO000165,F_32,CN,0.0151,0.31,0.633,,60,2,9.0
2024-Q4,DEMO000166,F_32,DE,0.0324,0.206,0.495,,29,2,3.0
2024-Q4,DEMO000167,F_32,CA,0.01,0.447,0.379,,85,2,12.0
2024-Q4,DEMO000168,F_32,FI,0.0201,0.395,0.404,,65,2,11.0
2024-Q4,DEMO000169,F_32,US,0.0063,0.372,0.416,,50,2,9.0
2024-Q4,DEMO000170,F_511,IT,0.039,0.291,0.517,,29,2,
2024-Q4,DEMO000171,F_32,US,0.0526,0.196,0.663,,1,2,5.0
2024-Q4,DEMO000172,F_32,PL,0.0307,0.426,0.666,,2,2,7.0
2024-Q4,DEMO000173,F_32,PL,0.0365,0.252,0.396,,50,2,10.0
2024-Q4,DEMO000174,F_32,IT,0.0769,0.165,0.365,,1,2,11.0
2024-Q4,DEMO000175,F_511,US,0.0614,0.253,0.426,,1,2,
2024-Q4,DEMO000176,F_32,PT,0.0456,0.388,0.484,,6,2,14.0
2024-Q4,DEMO000177,F_32,BE,0.0263,0.337,0.431,,72,2,14.0
2024-Q4,DEMO000178,F_511,JP,0.0723,0.375,0.529,,20,2,
2024-Q4,DEMO000179,F_511,HR,0.0226,0.388,0.477,,60,2,
2024-Q4,DEMO000180,F_32,FI,0.0294,0.214,0.36,,20,2,9.0
2024-Q4,DEMO000181,F_511,HR,0.0732,0.427,0.373,,3,2,
2024-Q4,DEMO000182,F_511,CA,0.0447,0.281,0.389,,15,2,
2024-Q4,DEMO000183,F_32,JP,0.0607,0.342,0.247,,2,2,12.0
2024-Q4,DEMO000184,F_32,JP,0.0493,0.151,0.283,,65,2,6.0
2024-Q4,DEMO000185,F_32,GR,0.054,0.448,0.562,,3,2,8.0
2024-Q4,DEMO000186,F_32,US,0.0275,0.234,0.395,,15,2,1.0
2024-Q4,DEMO000187,F_32,FR,0.0231,0.169,0.307,,85,2,11.0
2024-Q4,DEMO000188,F_32,PL,0.0292,0.287,0.481,,45,2,7.0
2024-Q4,DEMO000189,F_32,PL,0.0167,0.189,0.578,,20,2,7.0
2024-Q4,DEMO000190,F_511,DE,0.0706,0.196,0.329,,45,2,
2024-Q4,DEMO000191,F_32,ES,0.0262,0.34,0.613,,65,2,4.0
2024-Q4,DEMO000192,F_32,NL,0.0471,0.268,0.664,,6,2,9.0
2024-Q4,DEMO000193,F_511,BE,0.0644,0.427,0.499,,50,2,
2024-Q4,DEMO000194,F_32,FR,0.0638,0.246,0.534,,72,2,5.0
2024-Q4,DEMO000195,F_32,GR,0.0379,0.368,0.226,,45,2,2.0
2024-Q4,DEMO000196,F_511,BE,0.0407,0.288,0.673,,20,2,
2024-Q4,DEMO000197,F_511,FR,0.0796,0.348,0.396,,3,2,
2024-Q4,DEMO000198,F_511,IT,0.0556,0.33,0.662,,6,2,
2024-Q4,DEMO000199,F_511,DE,0.0661,0.292,0.489,,85,2,
2024-Q4,DEMO000200,F_511,FI,0.0727,0.435,0.202,,45,2,
2024-Q4,DEMO000201,F_511,FI,0.0641,0.253,0.219,,10,2,
2024-Q4,DEMO000202,F_511,HR,0.0189,0.203,0.54,,20,2,
2024-Q4,DEMO000203,F_32,FI,0.0472,0.353,0.481,,45,2,13.0
2024-Q4,DEMO000204,F_32,PT,0.0126,0.404,0.213,,45,2,11.0
2024-Q4,DEMO000205,F_32,FI,0.054,0.162,0.572,,60,2,4.0
2024-Q4,DEMO000206,F_511,FR,0.0767,0.285,0.626,,6,2,
2024-Q4,DEMO000207,F_32,FR,0.0435,0.418,0.448,,50,2,2.0
2024-Q4,DEMO000208,F_32,BE,0.0375,0.375,0.433,,20,2,2.0
2024-Q4,DEMO000209,F_32,PL,0.0077,0.448,0.203,,85,2,14.0
2024-Q4,DEMO000210,F_32,DE,0.077,0.309,0.593,,3,2,12.0
2024-Q4,DEMO000211,F_32,ES,0.0127,0.348,0.365,,3,2,3.0
2024-Q4,DEMO000212,F_32,US,0.0081,0.241,0.639,,20,2,4.0
2024-Q4,DEMO000213,F_32,CA,0.0235,0.434,0.387,,29,2,3.0
2024-Q4,DEMO000214,F_32,PL,0.0099,0.26,0.483,,60,2,6.0
2024-Q4,DEMO000215,F_32,CN,0.0391,0.372,0.335,,20,2,5.0
2024-Q4,DEMO000216,F_511,JP,0.0437,0.271,0.28,,72,2,
2024-Q4,DEMO000217,F_32,GR,0.0284,0.319,0.587,,29,2,8.0
2024-Q4,DEMO000218,F_32,US,0.0088,0.366,0.448,,2,2,3.0
2024-Q4,DEMO000219,F_32,FI,0.0134,0.303,0.468,,2,2,13.0
2024-Q4,DEMO000220,F_32,GR,0.0338,0.422,0.683,,85,2,11.0
2024-Q4,DEMO000221,F_32,HR,0.0095,0.276,0.682,,3,2,11.0
2024-Q4,DEMO000222,F_511,CA,0.0574,0.344,0.628,,85,2,
2024-Q4,DEMO000223,F_32,JP,0.0205,0.253,0.294,,10,2,10.0
2024-Q4,DEMO000224,F_511,GR,0.0277,0.272,0.497,,2,2,
2024-Q4,DEMO000225,F_32,PL,0.0346,0.282,0.639,,10,2,3.0
2024-Q4,DEMO000226,F_32,DE,0.0362,0.188,0.387,,50,2,11.0
2024-Q4,DEMO000227,F_32,US,0.0051,0.178,0.251,,20,2,6.0
2024-Q4,DEMO000228,F_511,HR,0.0134,0.35,0.605,,65,2,
2024-Q4,DEMO000229,F_511,HR,0.0697,0.347,0.441,,50,2,
2024-Q4,DEMO000230,F_511,US,0.0051,0.349,0.482,,20,2,
2024-Q4,DEMO000231,F_32,PL,0.0431,0.156,0.691,,50,2,3.0
2024-Q4,DEMO000232,F_32,AT,0.0417,0.248,0.504,,85,2,6.0
2024-Q4,DEMO000233,F_511,ES,0.03,0.209,0.412,,20,2,
2024-Q4,DEMO000234,F_32,BE,0.0373,0.383,0.385,,3,2,4.0
2024-Q4,DEMO000235,F_32,PT,0.0635,0.408,0.409,,20,2,5.0
2024-Q4,DEMO000236,F_511,NL,0.0681,0.224,0.259,,69,2,
2024-Q4,DEMO000237,F_32,DE,0.0245,0.35,0.597,,6,2,2.0
2024-Q4,DEMO000238,F_32,IT,0.0292,0.189,0.619,,85,2,10.0
2024-Q4,DEMO000239,F_511,PT,0.0232,0.233,0.342,,45,2,
2024-Q4,DEMO000240,F_32,HR,0.041,0.192,0.352,,50,2,12.0
2024-Q4,DEMO000241,F_32,JP,0.0562,0.235,0.637,,10,2,10.0
2024-Q4,DEMO000242,F_511,CN,0.0221,0.352,0.212,,72,2,
2024-Q4,DEMO000243,F_511,BE,0.0298,0.423,0.46,,1,2,
2024-Q4,DEMO000244,F_32,CA,0.0748,0.211,0.432,,10,2,6.0
2024-Q4,DEMO000245,F_32,IT,0.0086,0.313,0.545,,20,2,7.0
2024-Q4,DEMO000246,F_511,PL,0.0396,0.36,0.282,,29,2,
2024-Q4,DEMO000247,F_32,AT,0.0584,0.436,0.534,,29,2,11.0
2024-Q4,DEMO000248,F_32,IT,0.0163,0.333,0.388,,3,2,9.0
2024-Q4,DEMO000249,F_32,PT,0.0086,0.227,0.509,,6,2,11.0
2024-Q4,DEMO000250,F_32,IT,0.0154,0.338,0.22,,2,2,2.0
2024-Q4,DEMO000251,F_32,AT,0.0739,0.246,0.431,,45,2,12.0
2024-Q4,DEMO000252,F_511,HR,0.0057,0.443,0.461,,15,2,
2024-Q4,DEMO000253,F_32,CN,0.0191,0.27,0.307,,45,2,7.0
2024-Q4,DEMO000254,F_511,PT,0.0073,0.356,0.27,,45,2,
2024-Q4,DEMO000255,F_32,BE,0.0133,0.157,0.294,,60,2,12.0
2024-Q4,DEMO000256,F_32,CA,0.0515,0.27,0.372,,45,2,4.0
2024-Q4,DEMO000257,F_32,CA,0.0231,0.413,0.248,,50,2,4.0
2024-Q4,DEMO000258,F_32,BE,0.0477,0.333,0.674,,45,2,5.0
2024-Q4,DEMO000259,F_32,US,0.0493,0.283,0.402,,50,2,6.0
2024-Q4,DEMO000260,F_32,FR,0.0687,0.431,0.604,,50,2,3.0
2024-Q4,DEMO000261,F_32,IT,0.0054,0.406,0.687,,10,2,3.0
2024-Q4,DEMO000262,F_32,GR,0.069,0.247,0.24,,6,2,4.0
2024-Q4,DEMO000263,F_32,US,0.0514,0.313,0.526,,65,2,7.0
2024-Q4,DEMO000264,F_32,CA,0.0172,0.297,0.636,,15,2,5.0
2024-Q4,DEMO000265,F_511,US,0.063,0.34,0.517,,45,2,
2024-Q4,DEMO000266,F_32,CN,0.0692,0.25,0.415,,3,2,11.0
2024-Q4,DEMO000267,F_511,CA,0.0241,0.223,0.416,,20,2,
2024-Q4,DEMO000268,F_32,AT,0.0739,0.424,0.218,,29,2,13.0
2024-Q4,DEMO000269,F_32,ES,0.0391,0.427,0.467,,50,2,11.0
2024-Q4,DEMO000270,F_32,PT,0.0503,0.403,0.697,,29,2,3.0
2024-Q4,DEMO000271,F_32,IT,0.0788,0.443,0.679,,15,2,5.0
2024-Q4,DEMO000272,F_32,NL,0.0321,0.373,0.22,,85,2,3.0
2024-Q4,DEMO000273,F_32,AT,0.066,0.379,0.553,,29,2,4.0
2024-Q4,DEMO000274,F_32,HR,0.0289,0.379,0.351,,69,2,6.0
2024-Q4,DEMO000275,F_32,IT,0.0649,0.294,0.651,,65,2,2.0
2024-Q4,DEMO000276,F_511,BE,0.0501,0.287,0.223,,45,2,
2024-Q4,DEMO000277,F_32,BE,0.0212,0.222,0.668,,72,2,7.0
2024-Q4,DEMO000278,F_32,BE,0.0361,0.343,0.619,,2,2,10.0
2024-Q4,DEMO000279,F_32,IT,0.0288,0.237,0.259,,72,2,5.0
2024-Q4,DEMO000280,F_32,NL,0.0109,0.227,0.23,,69,2,13.0
2024-Q4,DEMO000281,F_32,IT,0.0072,0.326,0.617,,29,2,6.0
2024-Q4,DEMO000282,F_32,GR,0.031,0.273,0.278,,65,2,13.0
2024-Q4,DEMO000283,F_32,GR,0.0064,0.216,0.467,,29,2,4.0
2024-Q4,DEMO000284,F_32,PL,0.0174,0.395,0.658,,10,2,8.0
2024-Q4,DEMO000285,F_32,HR,0.0594,0.408,0.484,,65,2,11.0
2024-Q4,DEMO000286,F_32,PT,0.0581,0.2,0.399,,6,2,1.0
2024-Q4,DEMO000287,F_511,US,0.0604,0.152,0.423,,10,2,
2024-Q4,DEMO000288,F_32,CN,0.0288,0.251,0.232,,29,2,6.0
2024-Q4,DEMO000289,F_32,US,0.0718,0.389,0.684,,69,2,7.0
2024-Q4,DEMO000290,F_511,HR,0.0495,0.402,0.355,,15,2,
2024-Q4,DEMO000291,F_32,GR,0.0145,0.191,0.295,,29,2,10.0
2024-Q4,DEMO000292,F_32,DE,0.0158,0.382,0.343,,1,2,1.0
2024-Q4,DEMO000293,F_511,IT,0.057,0.185,0.682,,2,2,
2024-Q4,DEMO000294,F_32,BE,0.018,0.267,0.247,,1,2,9.0
2024-Q4,DEMO000295,F_32,CN,0.043,0.45,0.634,,2,2,14.0
2024-Q4,DEMO000296,F_32,JP,0.0794,0.208,0.554,,72,2,7.0
2024-Q4,DEMO000297,F_32,AT,0.0053,0.196,0.615,,69,2,9.0
2024-Q4,DEMO000298,F_32,US,0.0062,0.277,0.688,,69,2,7.0
2024-Q4,DEMO000299,F_32,AT,0.0795,0.336,0.621,,1,2,13.0
