IDENTIFIER,HOLDER_SECTOR,HOLDER_AREA,OBS_VALUE
DEMO000081,Insurance Corporations,BE,11057021.65
DEMO000082,Households,DE,47134163.18
DEMO000083,Financial Corporations,BE,18972206.1
DEMO000083,Investment Funds,BE,42600936.92
DEMO000084,Financial Corporations,NL,49366899.74
DEMO000084,Households,DE,7614854.53
DEMO000084,Investment Funds,NL,4511274.31
DEMO000085,Government,NL,37713156.91
DEMO000085,Investment Funds,DE,14327607.78
DEMO000085,Households,DE,16818839.19
DEMO000086,Government,FR,42152325.24
DEMO000087,Financial Corporations,BE,5883353.38
DEMO000087,Investment Funds,DE,44266140.11
DEMO000088,Government,NL,34407943.36
DEMO000088,Investment Funds,DE,2463888.09
DEMO000089,Investment Funds,DE,7075400.76
DEMO000090,Investment Funds,FR,26141634.09
DEMO000091,Government,NL,18748528.34
DEMO000091,Insurance Corporations,FR,32601616.44
DEMO000092,Financial Corporations,NL,22881711.42
DEMO000092,Households,DE,19764191.51
DEMO000093,Households,BE,18954098.45
DEMO000094,Financial Corporations,FR,21121878.37
DEMO000094,Investment Funds,FR,5104341.18
DEMO000094,Insurance Corporations,BE,39162746.23
DEMO000095,Government,NL,38215818.96
DEMO000095,Households,BE,14311898.67
DEMO000096,Households,FR,49052140.09
DEMO000096,Government,DE,2213071.09
DEMO000097,Insurance Corporations,NL,49383607.64
DEMO000097,Government,BE,909899.77
DEMO000097,Households,DE,22680145.78
DEMO000098,Government,FR,24041945.29
DEMO000099,Financial Corporations,BE,23796354.14
DEMO000100,Financial Corporations,NL,47276286.96
DEMO000101,Government,DE,25252788.94
DEMO000102,Financial Corporations,FR,46512265.41
DEMO000103,Investment Funds,BE,25276807.46
DEMO000103,Government,BE,42990586.51
DEMO000104,Financial Corporations,DE,14046419.94
DEMO000105,Government,DE,48828700.61
DEMO000105,Households,FR,9405516.41
DEMO000106,Government,FR,9147940.79
DEMO000106,Financial Corporations,NL,33773156.35
DEMO000106,Households,FR,13247423.87
DEMO000107,Investment Funds,FR,18128815.05
DEMO000107,Insurance Corporations,DE,42645873.68
DEMO000107,Households,DE,28640336.22
DEMO000108,Insurance Corporations,NL,17198249.77
DEMO000109,Investment Funds,NL,37380832.55
DEMO000109,Government,BE,6624515.49
DEMO000109,Financial Corporations,NL,40366516.8
DEMO000110,Households,DE,17142759.28
DEMO000110,Financial Corporations,FR,8226541.91
DEMO000110,Investment Funds,FR,26006445.02
DEMO000111,Households,FR,46390653.28
DEMO000111,Government,DE,13302256.46
DEMO000111,Investment Funds,NL,2074054.4
DEMO000112,Insurance Corporations,BE,9727792.65
DEMO000112,Financial Corporations,NL,18993184.28
DEMO000112,Households,DE,19319870.09
DEMO000113,Government,DE,16463401.79
DEMO000114,Financial Corporations,FR,10185503.58
DEMO000115,Insurance Corporations,BE,49541407.3
DEMO000116,Households,BE,15797620.29
DEMO000116,Financial Corporations,FR,38719577.99
DEMO000117,Households,FR,44785678.4
DEMO000118,Financial Corporations,BE,46469187.98
DEMO000118,Insurance Corporations,BE,4807640.98
DEMO000118,Government,DE,49714032.04
DEMO000119,Financial Corporations,DE,1805552.61
DEMO000119,Households,FR,38532328.78
DEMO000120,Investment Funds,DE,20767458.33
DEMO000120,Government,NL,2218651.85
DEMO000120,Households,BE,22465982.77
DEMO000121,Investment Funds,DE,19697477.1
DEMO000122,Financial Corporations,BE,16457605.26
DEMO000122,Government,BE,25175351.26
DEMO000122,Insurance Corporations,BE,20945389.99
DEMO000123,Government,FR,17661304.16
DEMO000123,Insurance Corporations,NL,28332931.95
DEMO000124,Investment Funds,DE,41213226.82
DEMO000125,Government,DE,7190985.9
DEMO000125,Investment Funds,BE,26370358.52
DEMO000125,Financial Corporations,FR,8581928.21
DEMO000126,Insurance Corporations,DE,5847784.06
DEMO000126,Financial Corporations,NL,28236733.93
DEMO000126,Households,BE,36079923.68
DEMO000127,Financial Corporations,DE,40813470.65
DEMO000128,Financial Corporations,FR,33179930.13
DEMO000128,Government,DE,6022000.62
DEMO000129,Insurance Corporations,BE,44746956.23
DEMO000130,Financial Corporations,DE,29422985.24
DEMO000131,Insurance Corporations,FR,22188535.16
DEMO000132,Households,FR,22822070.86
DEMO000132,Financial Corporations,BE,43639334.28
DEMO000133,Investment Funds,BE,4479193.2
DEMO000134,Investment Funds,BE,17822727.86
DEMO000134,Financial Corporations,DE,22677266.72
DEMO000134,Government,DE,20866467.84
DEMO000135,Financial Corporations,FR,12740049.28
DEMO000136,Households,NL,17016891.29
DEMO000136,Investment Funds,NL,32807423.7
DEMO000136,Insurance Corporations,FR,4791657.99
DEMO000137,Investment Funds,DE,18480373.79
DEMO000137,Government,NL,26904915.15
DEMO000137,Households,BE,14913737.43
DEMO000138,Government,NL,18507031.2
DEMO000139,Households,NL,13168629.09
DEMO000139,Insurance Corporations,NL,31384921.79
DEMO000140,Insurance Corporations,NL,26741891.07
DEMO000141,Government,DE,48313511.01
DEMO000141,Households,DE,26146807.69
DEMO000142,Financial Corporations,BE,21512033.69
DEMO000142,Government,DE,34946088.55
DEMO000143,Investment Funds,BE,22972976.93
DEMO000144,Financial Corporations,DE,6415533.23
DEMO000145,Households,FR,43481155.16
DEMO000145,Investment Funds,NL,31484506.06
DEMO000146,Investment Funds,BE,1917866.76
DEMO000146,Households,FR,27853895.81
DEMO000146,Government,BE,10891838.56
DEMO000147,Government,BE,21069101.7
DEMO000148,Financial Corporations,DE,10297541.31
DEMO000148,Government,FR,4769788.97
DEMO000149,Households,NL,48606301.84
DEMO000149,Insurance Corporations,DE,35438405.89
DEMO000149,Government,DE,30565048.01
DEMO000150,Insurance Corporations,FR,2072228.57
DEMO000151,Financial Corporations,FR,2254443.73
DEMO000152,Financial Corporations,DE,24353657.95
DEMO000152,Households,BE,21863207.49
DEMO000152,Government,NL,16299718.99
DEMO000153,Households,DE,44916192.02
DEMO000153,Investment Funds,DE,49750969.92
DEMO000154,Financial Corporations,DE,17670811.65
DEMO000154,Households,NL,14444903.63
DEMO000155,Insurance Corporations,NL,38227395.07
DEMO000156,Investment Funds,BE,4105838.29
DEMO000156,Insurance Corporations,NL,13210206.86
DEMO000156,Government,NL,49302884.18
DEMO000157,Government,NL,24950114.71
DEMO000157,Insurance Corporations,NL,29063871.03
DEMO000158,Insurance Corporations,BE,21476793.03
DEMO000158,Financial Corporations,DE,34519116.24
DEMO000159,Insurance Corporations,BE,18541623.16
DEMO000160,Households,DE,3549994.31
DEMO000160,Investment Funds,NL,36421256.51
DEMO000161,Households,BE,4537544.28
DEMO000161,Government,BE,1285449.67
DEMO000161,Financial Corporations,FR,2908811.77
DEMO000162,Households,FR,39796723.76
DEMO000162,Government,BE,24496025.24
DEMO000162,Insurance Corporations,DE,25082975.95
DEMO000163,Investment Funds,BE,44328107.71
DEMO000163,Financial Corporations,NL,33294176.88
DEMO000163,Insurance Corporations,DE,34292209.51
DEMO000164,Households,DE,26120016.19
DEMO000164,Insurance Corporations,NL,23165173.71
DEMO000165,Insurance Corporations,DE,18315857.62
DEMO000165,Government,BE,7582079.75
DEMO000166,Government,BE,30145757.65
DEMO000167,Financial Corporations,BE,11953030.04
DEMO000167,Investment Funds,BE,7614969.66
DEMO000168,Government,DE,49360597.97
DEMO000168,Financial Corporations,BE,2339528.09
DEMO000169,Financial Corporations,BE,37828156.59
DEMO000169,Investment Funds,FR,18024299.42
DEMO000170,Financial Corporations,NL,12955109.4
DEMO000170,Insurance Corporations,BE,9555614.73
DEMO000171,Financial Corporations,FR,39634314.77
DEMO000171,Insurance Corporations,FR,37678356.35
DEMO000172,Households,NL,27838282.5
DEMO000172,Insurance Corporations,NL,14940856.76
DEMO000173,Financial Corporations,BE,26918134.91
DEMO000173,Government,BE,24407059.45
DEMO000173,Investment Funds,DE,5453624.17
DEMO000174,Insurance Corporations,FR,46579950.27
DEMO000174,Government,NL,6279799.73
DEMO000175,Financial Corporations,NL,38289529.07
DEMO000176,Financial Corporations,NL,31618264.25
DEMO000176,Households,NL,37891736.69
DEMO000176,Government,NL,41427072.84
DEMO000177,Government,DE,47852882.07
DEMO000177,Investment Funds,BE,29417336.85
DEMO000177,Households,FR,33250808.93
DEMO000178,Insurance Corporations,DE,8103427.27
DEMO000178,Households,BE,10200023.45
DEMO000179,Insurance Corporations,NL,29190615.28
DEMO000179,Households,NL,29301048.43
DEMO000179,Investment Funds,DE,32900964.69
DEMO000180,Households,FR,31275555.67
DEMO000180,Investment Funds,DE,26921632.36
DEMO000181,Investment Funds,DE,43662062.05
DEMO000181,Households,BE,33984672.66
DEMO000181,Financial Corporations,FR,4611363.12
DEMO000182,Financial Corporations,NL,41389298.54
DEMO000182,Investment Funds,FR,29713468.0
DEMO000183,Households,BE,26035707.62
DEMO000183,Insurance Corporations,BE,18474796.07
DEMO000183,Government,NL,2613948.94
DEMO000184,Financial Corporations,DE,25307154.4
DEMO000184,Insurance Corporations,BE,11818524.15
DEMO000184,Investment Funds,BE,5376931.86
DEMO000185,Insurance Corporations,NL,19228805.39
DEMO000186,Investment Funds,NL,47958893.56
DEMO000186,Households,BE,20166689.94
DEMO000186,Government,FR,2642110.04
DEMO000187,Investment Funds,BE,40990592.7
DEMO000187,Government,FR,24980141.92
DEMO000187,Households,FR,1790501.98
DEMO000188,Households,FR,47529763.86
DEMO000189,Government,BE,47023535.49
DEMO000189,Households,NL,46859429.97
DEMO000190,Investment Funds,BE,23183743.03
DEMO000191,Investment Funds,NL,11713334.12
DEMO000191,Government,DE,41848373.25
DEMO000192,Insurance Corporations,NL,11412262.73
DEMO000193,Government,DE,31345348.36
DEMO000193,Insurance Corporations,FR,45619046.49
DEMO000193,Households,BE,7634557.26
DEMO000194,Government,BE,31601167.27
DEMO000194,Households,BE,31045318.21
DEMO000195,Insurance Corporations,NL,29321627.7
DEMO000195,Investment Funds,NL,39095145.39
DEMO000195,Government,BE,18926363.77
DEMO000196,Financial Corporations,BE,25408786.95
DEMO000197,Financial Corporations,DE,26424489.24
DEMO000197,Investment Funds,BE,18826379.17
DEMO000198,Financial Corporations,BE,8729072.66
DEMO000199,Government,FR,25014084.82
DEMO000199,Insurance Corporations,FR,32222649.22
DEMO000200,Investment Funds,BE,23239614.43
DEMO000200,Government,NL,1646639.95
DEMO000200,Insurance Corporations,NL,30921706.08
DEMO000201,Households,FR,37361912.57
DEMO000202,Investment Funds,FR,19863656.04
DEMO000203,Insurance Corporations,NL,49778209.45
DEMO000203,Financial Corporations,DE,888581.63
DEMO000204,Investment Funds,BE,27305724.57
DEMO000204,Government,DE,31033807.41
DEMO000205,Financial Corporations,NL,1398268.44
DEMO000205,Investment Funds,NL,41826367.57
DEMO000205,Government,BE,3929347.29
DEMO000206,Government,BE,22609399.02
DEMO000206,Financial Corporations,DE,20178307.07
DEMO000206,Insurance Corporations,NL,38406285.53
DEMO000207,Households,BE,32663105.86
DEMO000208,Financial Corporations,DE,47130980.5
DEMO000208,Households,NL,47538175.59
DEMO000208,Insurance Corporations,DE,20619038.53
DEMO000209,Households,DE,1675908.4
DEMO000209,Government,FR,7293441.73
DEMO000210,Government,FR,44343613.35
DEMO000210,Investment Funds,NL,40981043.34
DEMO000210,Insurance Corporations,DE,24692606.22
DEMO000211,Households,NL,24763562.86
DEMO000212,Insurance Corporations,NL,43058219.81
DEMO000213,Households,DE,47983853.48
DEMO000213,Government,BE,11493977.96
DEMO000214,Households,NL,28062657.41
DEMO000214,Government,DE,17195857.6
DEMO000215,Insurance Corporations,FR,4213156.67
DEMO000216,Investment Funds,DE,44399307.62
DEMO000217,Investment Funds,NL,23273641.15
DEMO000217,Households,DE,10542939.64
DEMO000218,Government,DE,35859475.56
DEMO000219,Government,BE,28785965.2
DEMO000220,Government,DE,44092699.34
DEMO000221,Insurance Corporations,FR,39957616.41
DEMO000222,Households,NL,49655633.25
DEMO000223,Insurance Corporations,FR,46354755.09
DEMO000223,Financial Corporations,NL,19781853.89
DEMO000223,Government,DE,28316749.22
DEMO000224,Households,DE,19887980.87
DEMO000224,Financial Corporations,BE,19764796.06
DEMO000225,Government,FR,44768689.48
DEMO000225,Financial Corporations,BE,3598710.16
DEMO000226,Investment Funds,FR,23646847.55
DEMO000226,Households,DE,29141756.52
DEMO000226,Insurance Corporations,DE,25099062.23
DEMO000227,Financial Corporations,BE,17134786.86
DEMO000227,Investment Funds,FR,40048798.16
DEMO000228,Households,FR,36984698.86
DEMO000228,Government,FR,12015387.93
DEMO000228,Insurance Corporations,DE,33603035.86
DEMO000229,Insurance Corporations,DE,47437458.75
DEMO000230,Government,BE,43755057.36
DEMO000230,Insurance Corporations,NL,8376714.88
DEMO000231,Government,DE,34468735.42
DEMO000231,Households,BE,26683747.32
DEMO000231,Investment Funds,BE,19454414.85
DEMO000232,Households,FR,8602536.31
DEMO000232,Government,BE,32175907.84
DEMO000232,Investment Funds,DE,48602517.7
DEMO000233,Financial Corporations,NL,12558551.91
DEMO000234,Households,DE,705830.96
DEMO000234,Financial Corporations,FR,27868655.92
DEMO000234,Government,FR,25663223.23
DEMO000235,Investment Funds,DE,37066680.06
DEMO000235,Insurance Corporations,DE,39256974.57
DEMO000235,Households,NL,6919499.71
DEMO000236,Insurance Corporations,FR,235092.96
DEMO000237,Financial Corporations,DE,23055870.5
DEMO000237,Investment Funds,FR,9158003.09
DEMO000237,Insurance Corporations,DE,26528299.52
DEMO000238,Households,NL,4746155.61
DEMO000239,Insurance Corporations,NL,18092199.03
DEMO000239,Government,NL,39159791.27
DEMO000240,Government,DE,11342337.21
DEMO000240,Households,BE,36228211.38
DEMO000240,Financial Corporations,NL,41885435.57
DEMO000241,Financial Corporations,FR,39896108.48
DEMO000242,Investment Funds,FR,32674082.5
DEMO000242,Households,FR,45963572.26
DEMO000242,Government,FR,5116047.87
DEMO000243,Financial Corporations,FR,22318746.75
DEMO000243,Insurance Corporations,BE,33799689.09
DEMO000244,Government,BE,8172944.64
DEMO000245,Households,NL,17800793.53
DEMO000245,Financial Corporations,NL,32464979.89
DEMO000245,Insurance Corporations,BE,25751004.98
DEMO000246,Insurance Corporations,FR,5935666.93
DEMO000247,Households,NL,31925723.0
DEMO000248,Insurance Corporations,DE,34625066.13
DEMO000249,Insurance Corporations,FR,27004497.79
DEMO000250,Investment Funds,FR,3849456.46
DEMO000250,Households,BE,37017571.59
DEMO000251,Government,BE,29025269.49
DEMO000252,Insurance Corporations,FR,49911601.21
DEMO000252,Government,BE,24673899.56
DEMO000252,Investment Funds,BE,3159072.88
DEMO000253,Households,DE,16506117.57
DEMO000253,Investment Funds,NL,36578390.67
DEMO000254,Households,NL,2093328.63
DEMO000254,Government,BE,1511786.05
DEMO000254,Financial Corporations,NL,27977847.39
DEMO000255,Government,DE,14461669.85
DEMO000255,Insurance Corporations,NL,33989353.89
DEMO000255,Households,BE,2797310.15
DEMO000256,Investment Funds,NL,40644565.38
DEMO000256,Households,DE,36844069.45
DEMO000256,Government,NL,11175506.57
DEMO000257,Government,DE,23193667.0
DEMO000258,Government,BE,32194060.42
DEMO000259,Government,DE,39368362.68
DEMO000259,Households,FR,21706610.94
DEMO000259,Investment Funds,NL,21968094.02
DEMO000260,Financial Corporations,BE,38398620.06
DEMO000260,Insurance Corporations,NL,18885824.78
DEMO000260,Households,FR,19073755.64
DEMO000261,Insurance Corporations,DE,40770736.69
DEMO000262,Insurance Corporations,DE,33077322.98
DEMO000262,Investment Funds,BE,21640885.95
DEMO000263,Households,NL,20779920.83
DEMO000264,Government,DE,20801115.08
DEMO000264,Investment Funds,FR,6280458.37
DEMO000265,Government,DE,27890992.69
DEMO000266,Government,NL,31110774.48
DEMO000267,Government,DE,1111030.3
DEMO000268,Government,BE,13801055.15
DEMO000268,Financial Corporations,NL,20125186.14
DEMO000269,Investment Funds,FR,8177281.1
DEMO000270,Financial Corporations,NL,27528702.62
DEMO000271,Insurance Corporations,DE,11168982.78
DEMO000272,Financial Corporations,BE,6430251.52
DEMO000272,Insurance Corporations,DE,7412686.64
DEMO000273,Government,BE,30921245.98
DEMO000274,Investment Funds,FR,48727594.54
DEMO000274,Government,NL,10280256.01
DEMO000275,Investment Funds,DE,49853743.65
DEMO000275,Government,BE,19018340.55
DEMO000275,Insurance Corporations,DE,32473867.7
DEMO000276,Insurance Corporations,BE,2974292.41
DEMO000277,Households,FR,7544290.78
DEMO000277,Insurance Corporations,FR,26716032.8
DEMO000278,Households,NL,7833760.39
DEMO000279,Insurance Corporations,BE,35472217.71
DEMO000279,Households,BE,49969562.82
DEMO000280,Investment Funds,NL,8136179.57
DEMO000281,Households,FR,29530520.19
DEMO000282,Insurance Corporations,FR,29448502.77
DEMO000283,Insurance Corporations,FR,10461094.89
DEMO000283,Government,FR,28200463.62
DEMO000284,Households,FR,12306893.92
DEMO000284,Investment Funds,DE,658218.98
DEMO000284,Government,FR,49332633.28
DEMO000285,Government,NL,40762309.54
DEMO000286,Investment Funds,NL,47888901.06
DEMO000286,Financial Corporations,DE,43777194.73
DEMO000286,Insurance Corporations,FR,7763535.56
DEMO000287,Households,BE,16885416.29
DEMO000287,Government,BE,7935572.32
DEMO000287,Financial Corporations,FR,689273.5
DEMO000288,Insurance Corporations,FR,39883383.39
DEMO000289,Government,FR,27192791.12
DEMO000289,Households,NL,16090698.79
DEMO000289,Insurance Corporations,DE,14244930.96
DEMO000290,Investment Funds,BE,23509758.5
DEMO000291,Financial Corporations,FR,6496285.45
DEMO000292,Government,BE,40994445.8
DEMO000293,Financial Corporations,FR,43767484.86
DEMO000293,Households,NL,30718911.21
DEMO000294,Households,FR,12140543.24
DEMO000294,Insurance Corporations,NL,3129288.51
DEMO000294,Investment Funds,NL,27489490.69
DEMO000295,Financial Corporations,BE,27492831.18
DEMO000295,Government,BE,28194236.93
DEMO000295,Households,NL,23697070.39
DEMO000296,Government,FR,10583347.48
DEMO000297,Investment Funds,FR,37309182.53
DEMO000297,Financial Corporations,FR,4315596.69
DEMO000297,Households,DE,38743449.94
DEMO000298,Households,FR,5626440.89
DEMO000299,Financial Corporations,BE,14717501.73
